type,react_date,post_id,user_id
Comment,1588168107,3741,138
Emoticon,1588166846,711,709
Emoticon,1588163334,701,282
Emoticon,1588168182,4750,461
Comment,1588162272,656,728
Like,1588165271,673,771
Emoticon,1588165833,6204,238
Like,1588167680,5313,66
Like,1588164462,5164,100
Comment,1588168814,833,302
Emoticon,1588166049,733,230
Like,1588164791,717,770
Emoticon,1588162893,641,656
Emoticon,1588164089,734,248
Emoticon,1588162297,465,282
Comment,1588163019,5013,829
Emoticon,1588162873,635,794
Emoticon,1588165163,5837,943
Emoticon,1588169125,676,375
Comment,1588163090,4273,350
Like,1588166386,7811,618
Comment,1588163300,4351,308
Comment,1588166202,709,514
Like,1588162947,2974,685
Like,1588168698,674,391
Like,1588163874,646,625
Like,1588162406,697,896
Like,1588165886,6204,161
Like,1588164890,645,539
Emoticon,1588165169,788,248
Emoticon,1588165187,66,572
Comment,1588164416,2812,723
Comment,1588166735,7738,267
Comment,1588165031,3402,110
Emoticon,1588162534,7950,700
Emoticon,1588165987,8019,377
Like,1588164782,8948,12
Comment,1588164568,680,159
Like,1588163605,7270,105
Like,1588161868,1887,553
Emoticon,1588167601,7738,219
Comment,1588165571,708,692
Comment,1588167147,726,447
Like,1588165906,1500,984
Like,1588165351,708,448
Comment,1588168639,642,27
Emoticon,1588164194,699,273
Comment,1588165884,670,148
Emoticon,1588167191,2549,97
Emoticon,1588165835,75,29
Comment,1588161955,5013,424
Comment,1588164260,6525,51
Comment,1588166386,730,376
Like,1588166548,705,425
Like,1588164097,674,197
Emoticon,1588165364,65,909
Emoticon,1588164585,646,808
Comment,1588161920,5187,733
Comment,1588164335,658,158
Like,1588163781,5313,257
Emoticon,1588167254,2930,393
Comment,1588164262,736,358
Emoticon,1588167897,7124,382
Emoticon,1588168539,734,518
Emoticon,1588169266,1946,607
Comment,1588164932,727,530
Emoticon,1588163820,1946,177
Emoticon,1588161508,6988,280
Emoticon,1588166252,713,179
Comment,1588167023,5521,382
Comment,1588165719,647,652
Like,1588167088,1616,260
Emoticon,1588163304,2549,865
Like,1588166501,654,754
Emoticon,1588163208,723,75
Comment,1588163425,2466,65
Comment,1588166675,659,524
Comment,1588164017,681,953
Emoticon,1588164149,651,462
Emoticon,1588163997,69,187
Comment,1588168022,643,280
Comment,1588162486,3753,488
Like,1588165331,465,909
Comment,1588163649,688,210
Comment,1588166431,642,7
Like,1588164841,678,491
Emoticon,1588165826,721,892
Like,1588161922,636,72
Emoticon,1588164898,677,516
Comment,1588165229,735,964
Like,1588166993,710,547
Emoticon,1588166891,719,433
Emoticon,1588165546,672,482
Comment,1588160703,6071,271
Like,1588166680,695,208
Emoticon,1588168109,118,182
Like,1588165298,465,448
Emoticon,1588167260,764,657
Comment,1588166038,664,54
Comment,1588165588,6525,622
Comment,1588166423,1167,411
Emoticon,1588165382,692,289
Like,1588164163,2141,733
Emoticon,1588163160,4018,991
Like,1588160845,2753,882
Like,1588169457,1074,861
Comment,1588164467,2957,829
Emoticon,1588167988,67,467
Comment,1588165357,2238,575
Emoticon,1588167154,706,141
